Date_Year_Month,M1_MoneySupply
6/1/1990,808.8
7/1/1990,810.1
8/1/1990,815.7
9/1/1990,820.2
10/1/1990,819.9
11/1/1990,822.1
12/1/1990,824.7
1/1/1991,827.2
2/1/1991,832.6
3/1/1991,838.7
4/1/1991,843.1
5/1/1991,848.8
6/1/1991,856.7
7/1/1991,861.6
8/1/1991,866.8
9/1/1991,869.7
10/1/1991,878
11/1/1991,887.6
12/1/1991,897
1/1/1992,910.4
2/1/1992,925.2
3/1/1992,936.7
4/1/1992,943.8
5/1/1992,950.6
6/1/1992,954.3
7/1/1992,963.3
8/1/1992,973.7
9/1/1992,988
10/1/1992,1003.7
11/1/1992,1015.7
12/1/1992,1024.9
1/1/1993,1030.4
2/1/1993,1033.5
3/1/1993,1038.4
4/1/1993,1047.6
5/1/1993,1065.9
6/1/1993,1075.1
7/1/1993,1084.6
8/1/1993,1094.2
9/1/1993,1104.2
10/1/1993,1113.1
11/1/1993,1124.1
12/1/1993,1129.6
1/1/1994,1131.6
2/1/1994,1136.3
3/1/1994,1140.1
4/1/1994,1141.1
5/1/1994,1143.3
6/1/1994,1145.2
7/1/1994,1150.7
8/1/1994,1150.6
9/1/1994,1151.9
10/1/1994,1150.2
11/1/1994,1150.9
12/1/1994,1150.7
1/1/1995,1151.4
2/1/1995,1147.4
3/1/1995,1146.7
4/1/1995,1149.3
5/1/1995,1145.3
6/1/1995,1144.2
7/1/1995,1145.5
8/1/1995,1145.4
9/1/1995,1142
10/1/1995,1137.3
11/1/1995,1134.1
12/1/1995,1127.5
1/1/1996,1123.5
2/1/1996,1118.5
3/1/1996,1122.6
4/1/1996,1124.8
5/1/1996,1116.5
6/1/1996,1115.2
7/1/1996,1112.4
8/1/1996,1101.6
9/1/1996,1096.2
10/1/1996,1085.7
11/1/1996,1083.5
12/1/1996,1081.3
1/1/1997,1081.2
2/1/1997,1078.8
3/1/1997,1072.5
4/1/1997,1063.9
5/1/1997,1063.8
6/1/1997,1066.1
7/1/1997,1065.5
8/1/1997,1075.3
9/1/1997,1066.9
10/1/1997,1065.6
11/1/1997,1070.9
12/1/1997,1072.3
1/1/1998,1074
2/1/1998,1077.8
3/1/1998,1076.9
4/1/1998,1076.5
5/1/1998,1079.1
6/1/1998,1076.3
7/1/1998,1075.1
8/1/1998,1075.9
9/1/1998,1079.9
10/1/1998,1086
11/1/1998,1094.9
12/1/1998,1095
1/1/1999,1098.1
2/1/1999,1096.7
3/1/1999,1096.6
4/1/1999,1101.6
5/1/1999,1103.8
6/1/1999,1099.8
7/1/1999,1099.1
8/1/1999,1099.2
9/1/1999,1096.5
10/1/1999,1103.3
11/1/1999,1110.7
12/1/1999,1122.2
1/1/2000,1122.1
2/1/2000,1108.6
3/1/2000,1107.5
4/1/2000,1115.6
5/1/2000,1104.9
6/1/2000,1102.6
7/1/2000,1103.5
8/1/2000,1100.2
9/1/2000,1099.7
10/1/2000,1098.7
11/1/2000,1092.4
12/1/2000,1088.6
1/1/2001,1096.7
2/1/2001,1101.2
3/1/2001,1108.9
4/1/2001,1116.7
5/1/2001,1118.5
6/1/2001,1126.2
7/1/2001,1138.9
8/1/2001,1150.2
9/1/2001,1205.7
10/1/2001,1165.7
11/1/2001,1171
12/1/2001,1183.2
1/1/2002,1190.7
2/1/2002,1190.6
3/1/2002,1193.3
4/1/2002,1186.9
5/1/2002,1189.3
6/1/2002,1193.3
7/1/2002,1199.1
8/1/2002,1187.1
9/1/2002,1196.1
10/1/2002,1204
11/1/2002,1209.6
12/1/2002,1220.2
1/1/2003,1227.3
2/1/2003,1238.2
3/1/2003,1239.3
4/1/2003,1250
5/1/2003,1268.8
6/1/2003,1281
7/1/2003,1287.5
8/1/2003,1296.4
9/1/2003,1297.2
10/1/2003,1297.8
11/1/2003,1299.1
12/1/2003,1306.2
1/1/2004,1306
2/1/2004,1321.4
3/1/2004,1328.7
4/1/2004,1332.8
5/1/2004,1333.3
6/1/2004,1342.7
7/1/2004,1340.8
8/1/2004,1354.3
9/1/2004,1362.5
10/1/2004,1362.3
11/1/2004,1374.2
12/1/2004,1376
1/1/2005,1367.1
2/1/2005,1371.1
3/1/2005,1370.9
4/1/2005,1358.4
5/1/2005,1366
6/1/2005,1380.1
7/1/2005,1369
8/1/2005,1377.8
9/1/2005,1378.6
10/1/2005,1376.5
11/1/2005,1376.1
12/1/2005,1374.3
1/1/2006,1379.5
2/1/2006,1378.4
3/1/2006,1383.2
4/1/2006,1381.4
5/1/2006,1387.2
6/1/2006,1375.4
7/1/2006,1372.4
8/1/2006,1372.4
9/1/2006,1364.4
10/1/2006,1370.3
11/1/2006,1370.8
12/1/2006,1366.6
1/1/2007,1371.7
2/1/2007,1363
3/1/2007,1366.5
4/1/2007,1378
5/1/2007,1380.9
6/1/2007,1368.2
7/1/2007,1371.8
8/1/2007,1376.3
9/1/2007,1375.7
10/1/2007,1379.4
11/1/2007,1371.8
12/1/2007,1373.4
1/1/2008,1377.7
2/1/2008,1380.4
3/1/2008,1388.7
4/1/2008,1391.4
5/1/2008,1393.4
6/1/2008,1404.6
7/1/2008,1421.1
8/1/2008,1407.4
9/1/2008,1462
10/1/2008,1473.8
11/1/2008,1514.6
12/1/2008,1601.7
1/1/2009,1582.8
2/1/2009,1567.2
3/1/2009,1578.9
4/1/2009,1611.6
5/1/2009,1617.5
6/1/2009,1658.8
7/1/2009,1662.5
8/1/2009,1660
9/1/2009,1664.9
10/1/2009,1677.7
11/1/2009,1683
12/1/2009,1692.8
1/1/2010,1674.7
2/1/2010,1699.8
3/1/2010,1711.9
4/1/2010,1699
5/1/2010,1710.1
6/1/2010,1731.6
7/1/2010,1724
8/1/2010,1748.7
9/1/2010,1766.2
10/1/2010,1780.4
11/1/2010,1828.4
12/1/2010,1836.7
1/1/2011,1846.3
2/1/2011,1870.1
3/1/2011,1896.5
4/1/2011,1897
5/1/2011,1941.6
6/1/2011,1963.4
7/1/2011,1996
8/1/2011,2115.4
9/1/2011,2120
10/1/2011,2128.5
11/1/2011,2182
12/1/2011,2165.7
1/1/2012,2201.8
2/1/2012,2207.1
3/1/2012,2227.8
4/1/2012,2237.3
5/1/2012,2256.2
6/1/2012,2275.3
7/1/2012,2315
8/1/2012,2354.1
9/1/2012,2386.6
10/1/2012,2420.1
11/1/2012,2441.2
12/1/2012,2460.7
1/1/2013,2475.5
2/1/2013,2470.6
3/1/2013,2477.5
4/1/2013,2507.1
5/1/2013,2527.9
6/1/2013,2528.3
7/1/2013,2544.5
8/1/2013,2555.9
9/1/2013,2584.8
10/1/2013,2623.6
11/1/2013,2634.6
12/1/2013,2664.3
1/1/2014,2698.9
2/1/2014,2724.7
3/1/2014,2751.4
4/1/2014,2773.2
5/1/2014,2791.3
6/1/2014,2827.1
7/1/2014,2843
8/1/2014,2804.2
9/1/2014,2865.2
10/1/2014,2870.7
11/1/2014,2888.8
12/1/2014,2940.9
1/1/2015,2941.3
2/1/2015,3005.4
3/1/2015,2998.4
4/1/2015,2999.2
5/1/2015,2981.9
6/1/2015,3020.9
7/1/2015,3040.9
8/1/2015,3029
9/1/2015,3047
10/1/2015,3018.8
11/1/2015,3082.3
12/1/2015,3095.8
1/1/2016,3096.9
2/1/2016,3128.8
3/1/2016,3154
4/1/2016,3198.5
5/1/2016,3237.6
6/1/2016,3246.1
7/1/2016,3246
8/1/2016,3319.3
9/1/2016,3327.7
10/1/2016,3333.4
11/1/2016,3355
12/1/2016,3340.9
1/1/2017,3391.2
2/1/2017,3402.7
3/1/2017,3450.5
4/1/2017,3451.2
5/1/2017,3516.1
6/1/2017,3524.9
7/1/2017,3548.6
8/1/2017,3587.8
9/1/2017,3571.2
10/1/2017,3606.3
11/1/2017,3631
12/1/2017,3610.6
1/1/2018,3656.2
2/1/2018,3619
3/1/2018,3663.4
4/1/2018,3655.2
5/1/2018,3650.8
6/1/2018,3652.2
7/1/2018,3677.5
8/1/2018,3693.2
9/1/2018,3701.8
10/1/2018,3728.2
11/1/2018,3705.6
12/1/2018,3763.4
1/1/2019,3754.8
2/1/2019,3762.9
3/1/2019,3733.6
4/1/2019,3775
5/1/2019,3783.2
6/1/2019,3824.4
7/1/2019,3856.8
8/1/2019,3858.9
9/1/2019,3900
10/1/2019,3935.3
11/1/2019,3955.3
12/1/2019,4007.1
1/1/2020,3993.6
2/1/2020,4002.9
3/1/2020,4261.9
4/1/2020,4779.8
5/1/2020,16232.9
6/1/2020,16563.5
7/1/2020,16763.8
8/1/2020,16896.7
9/1/2020,17161.5
10/1/2020,17365.3
11/1/2020,17626.7
12/1/2020,17834.4
1/1/2021,18107
2/1/2021,18367.6
3/1/2021,18641.4
4/1/2021,18927.5
5/1/2021,19259.7
6/1/2021,19319.7
7/1/2021,19497.5
8/1/2021,19746.6
9/1/2021,19899
10/1/2021,20063.5
11/1/2021,20279.9
12/1/2021,20430.7
1/1/2022,20585.4
2/1/2022,20661.2
3/1/2022,20699.1
4/1/2022,20615.3
5/1/2022,20620.7
6/1/2022,20545
7/1/2022,20514.7
