,Unnamed: 0,date,city,duration,summary,posted,state_idaho,state_utah,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown,changing,light,other
32960,32960,10/15/16 18:00,Idaho Falls,6-7 seconds,I saw it come out of the clouds.  It was a black equal sided triangle.  ((anonymous report)),10/21/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32961,32961,10/15/16 11:00,Twin Falls,15 minutes,Orb emitting ultra bright orange light sitting on the horizon.  ((NUFORC Note:  Venus??  PD)),2/3/17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32962,32962,9/30/16 07:10,Weiser,5 seconds,Saw  small bright blue strobe traveling at a fast rate South of Manns Creek	,10/11/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32963,32963,9/28/16 21:00,Rexburg,2 seconds,Triangle-shaped object with lights emitting in each corner of the object flies overhead.,9/30/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32964,32964,9/20/16 21:00,Elmore County (House Mountain Road),2-3 minutes,My son and I were elk hunting in Area 39 when we were headed back to camp in my station wagon after hunting near the lake till dark. We,12/5/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32965,32965,9/15/16 22:00,Mountain Home,5 seconds,Orange lights appearing in sky.,9/22/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32966,32966,9/11/16 22:00,Emmett,~60 seconds,"Red orange & white lights move low to ground from behind Reagan Butte in Emmett, Idaho, stops in mid air, back tracks a bit, then back.",9/15/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32967,32967,9/6/16 01:34,Boise,35 minutes,Three triangle  lights seen  by my wife and me.,9/9/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32968,32968,8/23/16 02:00,Boise,seconds,"Large green glowing spherical light traveling north at high rate of speed.  No tail, no sound.",8/25/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32969,32969,8/20/16 05:00,Meridian,2 hours,"Looked out my window at 5 am, saw a bright flashing coming from the UFO.  It caught my attention when the flashes changed from blue.",8/25/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32970,32970,8/16/16 05:30,Boise,10 seconds,Ship flew away at high speed into stars and left a green/blue light glowing.,8/19/16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32971,32971,8/8/16 18:15,Boise,40 minutes,"Odd ship that changed shapes, then back to original round shape, possible lights on it.",8/16/16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32972,32972,8/8/16 17:30,Nampa,>1 hour,Rotating circular object with antennae.,8/16/16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32973,32973,8/6/16 21:30,Boise,~15-20 minutes,Right in the middle Vega and Arcturus was a bright circular light that looked like a planet but disappeared after only 20 minutes.,8/16/16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32974,32974,8/6/16 20:45,Nampa,1 hour,Shiny daytime ufo over nampa idaho 08/06/2016,8/16/16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32975,32975,8/6/16 20:17,Meridian,56 minutes,"Bright orb viewed in twilight and night sky over Meridian/Nampa, Idaho.  ((anonymous report))((NUFORC Note:  Pilot report.  PD))",8/16/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32976,32976,8/6/16 19:45,Boise,>11 minutes,White stationary object remaining for >20 min and counting very very high in atmosphere.  Changing shape from oval to angular.,8/16/16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
