,Unnamed: 0,Unnamed: 0.1,status_id,created_at,user_id,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,sentiment_polarity,sentiment_subjectivity,sentence,found_flag
296,296,30348,x936864840240398337,2017-12-02 07:49:18,x25073877,realDonaldTrump,We are one step closer to delivering MASSIVE tax cuts for working families across America. Special thanks to @SenateMajLdr Mitch McConnell and Chairman @SenOrrinHatch for shepherding our bill through the Senate. Look forward to signing a final bill before Christmas! https://t.co/gmWTny3SfS,Twitter for iPhone,266,,,,False,False,71360,17307,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/936864477810630657/pu/img/U50_fmXxVkBFGTXR.jpg,https://t.co/gmWTny3SfS,https://twitter.com/realDonaldTrump/status/936864840240398337/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/936864477810630657/pu/img/U50_fmXxVkBFGTXR.jpg,https://t.co/gmWTny3SfS,https://twitter.com/realDonaldTrump/status/936864840240398337/video/1,,x1249982359 262756641,SenateMajLdr senorrinhatch,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1392857142857143,0.6928571428571428,We are one step closer to delivering MASSIVE tax cuts for working families across America Special thanks to SenateMajLdr Mitch McConnell and Chairman SenOrrinHatch for shepherding our bill through the Senate Look forward to signing a final bill before Christmas https,1
297,297,30371,x937641904338063361,2017-12-04 11:17:05,x25073877,realDonaldTrump,"Democrats refusal to give even one vote for massive Tax Cuts is why we need Republican Roy Moore to win in Alabama. We need his vote on stopping crime, illegal immigration, Border Wall, Military, Pro Life, V.A., Judges 2nd Amendment and more. No to Jones, a Pelosi/Schumer Puppet!",Twitter for iPhone,280,,,,False,False,97161,26449,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11666666666666668,0.4166666666666667,Democrats refusal to give even one vote for massive Tax Cuts is why we need Republican Roy Moore to win in Alabama We need his vote on stopping crime illegal immigration Border Wall Military Pro Life V A Judges 2nd Amendment and more No to Jones a Pelosi Schumer Puppet,1
298,298,30376,x941400670766321666,2017-12-14 20:13:04,x25073877,realDonaldTrump,"Today, we gathered in the Roosevelt Room for one single reason: to CUT THE RED TAPE! For many decades, an ever-growing maze of regs, rules, and restrictions has cost our country trillions of dollars, millions of jobs, countless American factories, &amp; devastated entire industries. https://t.co/ostXOVnckf",Twitter for iPhone,283,,,,False,False,57564,12868,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/941400502599811072/pu/img/w0Rmc5rYfd8qbIR2.jpg,https://t.co/ostXOVnckf,https://twitter.com/realDonaldTrump/status/941400670766321666/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/941400502599811072/pu/img/w0Rmc5rYfd8qbIR2.jpg,https://t.co/ostXOVnckf,https://twitter.com/realDonaldTrump/status/941400670766321666/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857144,0.30654761904761907,Today we gathered in the Roosevelt Room for one single reason to CUT THE RED TAPE For many decades an ever growing maze of regs rules and restrictions has cost our country trillions of dollars millions of jobs countless American factories amp devastated entire industries https,1
299,299,30381,x936713881711529986,2017-12-01 21:49:27,x25073877,realDonaldTrump,"Economists on the TAX CUTS and JOBS ACT:

“The enactment of a comprehensive overhaul - complete with a lower corporate tax rate - will IGNITE our ECONOMY with levels of GROWTH not SEEN IN GENERATIONS...” https://t.co/2vCBDtLh3C",Twitter for iPhone,203,,,,False,False,60425,15806,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/936713775188656128/pu/img/RS9sPhWPeEzzUs6r.jpg,https://t.co/2vCBDtLh3C,https://twitter.com/realDonaldTrump/status/936713881711529986/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/936713775188656128/pu/img/RS9sPhWPeEzzUs6r.jpg,https://t.co/2vCBDtLh3C,https://twitter.com/realDonaldTrump/status/936713881711529986/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.2,Economists on the TAX CUTS and JOBS ACT The enactment of a comprehensive overhaul complete with a lower corporate tax rate will IGNITE our ECONOMY with levels of GROWTH not SEEN IN GENERATIONS https,1
300,300,30438,x936005585019002887,2017-11-29 22:54:56,x25073877,realDonaldTrump,"This week, the Senate can join the House &amp; take a strong stand for the Middle Class families who are the backbone of America. Together, we will give the American people a big, beautiful Christmas present-a massive tax cut that lets Americans keep more of their HARD-EARNED MONEY! https://t.co/9jddEW2Oo5",Twitter for iPhone,283,,,,False,False,54842,12545,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/936003460989718528/pu/img/yVJk6ZNpN3_R_Mmy.jpg,https://t.co/9jddEW2Oo5,https://twitter.com/realDonaldTrump/status/936005585019002887/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/936003460989718528/pu/img/yVJk6ZNpN3_R_Mmy.jpg,https://t.co/9jddEW2Oo5,https://twitter.com/realDonaldTrump/status/936005585019002887/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16574074074074072,0.4305555555555555,This week the Senate can join the House amp take a strong stand for the Middle Class families who are the backbone of America Together we will give the American people a big beautiful Christmas present a massive tax cut that lets Americans keep more of their HARD EARNED MONEY https,1
301,301,30524,x930089374187950081,2017-11-13 15:06:01,x25073877,realDonaldTrump,"I am proud of the Rep. House &amp; Senate for working so hard on cutting taxes {&amp; reform.} We’re getting close! Now, how about ending the unfair &amp; highly unpopular Indiv Mandate in OCare &amp; reducing taxes even further? Cut top rate to 35% w/all of the rest going to middle income cuts?",Twitter Web Client,296,,,,False,False,77506,16492,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/dd9c503d6c35364b.json,Pennsylvania,"Pennsylvania, USA",admin,United States,US,,,-80.519851 -74.689517 -74.689517 -80.519851 39.719801 39.719801 42.516072 42.516072,0.00854166666666667,0.6227083333333333,I am proud of the Rep House amp Senate for working so hard on cutting taxes amp reform We re getting close Now how about ending the unfair amp highly unpopular Indiv Mandate in OCare amp reducing taxes even further Cut top rate to 35 w all of the rest going to middle income cuts,1
302,302,30563,x928097146993369088,2017-11-08 03:09:37,x25073877,realDonaldTrump,"The U.S., under my administration, is completely rebuilding its military, and they're spending hundreds of billions of dollars to the newest and finest military equipment anywhere in the world, being built right now. I want peace through strength! https://t.co/2YXkIvRIFi",Twitter Web Client,247,,,,False,False,60055,14452,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/928096960472432640/pu/img/vyK2m-2Kast0vPyu.jpg,https://t.co/2YXkIvRIFi,https://twitter.com/realDonaldTrump/status/928097146993369088/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/928096960472432640/pu/img/vyK2m-2Kast0vPyu.jpg,https://t.co/2YXkIvRIFi,https://twitter.com/realDonaldTrump/status/928097146993369088/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04642857142857142,0.2839285714285714,The U S under my administration is completely rebuilding its military and they arespending hundreds of billions of dollars to the newest and finest military equipment anywhere in the world being built right now I want peace through strength https,1
303,303,30578,x928936220360503296,2017-11-10 10:43:48,x25073877,realDonaldTrump,The United States has been reminded time and again in recent years that economic security is not merely RELATED to national security - economic security IS national security. It is vital to our national strength. #APEC2017 https://t.co/8gKQUhit2X,Twitter Web Client,222,,,,False,False,58141,13876,APEC2017,,,,,http://pbs.twimg.com/ext_tw_video_thumb/928935631891316736/pu/img/lX3XHtG6cuWvOUPj.jpg,https://t.co/8gKQUhit2X,https://twitter.com/realDonaldTrump/status/928936220360503296/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/928935631891316736/pu/img/lX3XHtG6cuWvOUPj.jpg,https://t.co/8gKQUhit2X,https://twitter.com/realDonaldTrump/status/928936220360503296/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/e0060cda70f5f341.json,Texas,"Texas, USA",admin,United States,US,,,-106.645646 -93.508131 -93.508131 -106.645646 25.837092 25.837092 36.500695 36.500695,0.1,0.29000000000000004,The United States has been reminded time and again in recent years that economic security is not merely RELATED to national security economic security IS national security It is vital to our national strength APEC2017 https,1
304,304,30648,x925497025386500096,2017-10-31 22:57:40,x25073877,realDonaldTrump,"My thoughts, condolences and prayers to the victims and families of the New York City terrorist attack. God and your country are with you!",Twitter for iPhone,138,,,,False,False,113620,26089,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13636363636363635,0.45454545454545453,My thoughts condolences and prayers to the victims and families of the New York City terrorist attack God and your country are with you,1
305,305,30679,x925806343855984647,2017-11-01 19:26:47,x25073877,realDonaldTrump,We mourn the horrifying terrorist attack in NYC. All of America is praying and grieving for the families who lost their precious loved ones. https://t.co/WZFHXoJE3K,Media Studio,140,,,,False,False,56032,12599,,,,,,http://pbs.twimg.com/media/DNkf4EhWAAAC3u4.jpg,https://t.co/WZFHXoJE3K,https://twitter.com/realDonaldTrump/status/925806343855984647/video/1,photo,http://pbs.twimg.com/media/DNkf4EhWAAAC3u4.jpg,https://t.co/WZFHXoJE3K,https://twitter.com/realDonaldTrump/status/925806343855984647/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09999999999999998,0.9333333333333332,We mourn the horrifying terrorist attack in NYC All of America is praying and grieving for the families who lost their precious loved ones https,1
