station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,pm1i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_ti0e,feel,metar
BOI,9/1/2020 2:53,-116.2406,43.5667,66,39,37,340,7,0,30.02,1014.9,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010253Z 34007KT 10S0 CLR 19/04 A3002 R0K AO2 SLP149 T01890039 53013
BOI,9/1/2020 2:55,-116.2406,43.5667,0,0,0,340,7,0,30.02,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010255Z AUTO 34007KT 10S0 CLR 19/04 A3002 R0K T01900040 0ADISHF
BOI,9/1/2020 3:00,-116.2406,43.5667,0,0,0,350,7,0,30.02,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010300Z AUTO 35007KT 10S0 CLR 19/03 A3002 R0K T01900030 0ADISHF
BOI,9/1/2020 3:05,-116.2406,43.5667,0,0,0,350,5,0,30.03,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010305Z AUTO 35005KT 10S0 CLR 18/03 A3003 R0K T01800030 0ADISHF
BOI,9/1/2020 3:10,-116.2406,43.5667,0,0,0,350,7,0,30.03,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010310Z AUTO 35007KT 10S0 CLR 19/03 A3003 R0K T01900030 0ADISHF
BOI,9/1/2020 3:15,-116.2406,43.5667,0,0,0,360,7,0,30.04,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010315Z AUTO 36007KT 10S0 CLR 19/03 A3004 R0K T01900030 0ADISHF
BOI,9/1/2020 3:20,-116.2406,43.5667,0,0,0,360,7,0,30.04,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010320Z AUTO 36007KT 10S0 CLR 18/03 A3004 R0K T01800030 0ADISHF
BOI,9/1/2020 3:25,-116.2406,43.5667,0,0,0,360,5,0,30.04,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010325Z AUTO 36005KT 10S0 CLR 18/03 A3004 R0K T01800030 0ADISHF
BOI,9/1/2020 3:30,-116.2406,43.5667,0,0,0,30,5,0,30.04,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010330Z AUTO 03005KT 10S0 CLR 18/03 A3004 R0K T01800030 0ADISHF
BOI,9/1/2020 3:35,-116.2406,43.5667,0,0,0,40,5,0,30.05,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010335Z AUTO 04005KT 10S0 CLR 18/04 A3004 R0K T01800040 0ADISHF
BOI,9/1/2020 3:40,-116.2406,43.5667,0,0,0,20,4,0,30.05,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010340Z AUTO 02004KT 10S0 CLR 18/03 A3004 R0K T01800030 0ADISHF
BOI,9/1/2020 3:45,-116.2406,43.5667,0,0,0,10,4,0,30.05,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010345Z AUTO 01004KT 10S0 CLR 18/03 A3004 R0K T01800030 0ADISHF
BOI,9/1/2020 3:50,-116.2406,43.5667,0,0,0,360,4,0,30.05,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010350Z AUTO 36004KT 10S0 CLR 18/04 A3004 R0K T01800040 0ADISHF
BOI,9/1/2020 3:53,-116.2406,43.5667,64,39,39.67,20,4,0,30.05,1015.9,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010353Z 02004KT 10S0 CLR 18/04 A3005 R0K AO2 SLP159 T01780039
BOI,9/1/2020 3:55,-116.2406,43.5667,0,0,0,10,4,0,30.05,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010355Z AUTO 01004KT 10S0 CLR 18/04 A3004 R0K T01800040 0ADISHF
BOI,9/1/2020 4:00,-116.2406,43.5667,0,0,0,340,4,0,30.05,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010400Z AUTO 34004KT 10S0 CLR 18/04 A3004 R0K T01800040 0ADISHF
BOI,9/1/2020 4:05,-116.2406,43.5667,0,0,0,340,2,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010405Z AUTO 34002KT 10S0 CLR 18/04 A3005 R0K T01800040 0ADISHF
BOI,9/1/2020 4:10,-116.2406,43.5667,0,0,0,340,4,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010410Z AUTO 34004KT 10S0 CLR 18/04 A3005 R0K T01800040 0ADISHF
BOI,9/1/2020 4:15,-116.2406,43.5667,0,0,0,340,4,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010415Z AUTO 34004KT 10S0 CLR 18/03 A3005 R0K T01800030 0ADISHF
BOI,9/1/2020 4:20,-116.2406,43.5667,0,0,0,340,2,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010420Z AUTO 34002KT 10S0 CLR 17/04 A3005 R0K T01700040 0ADISHF
BOI,9/1/2020 4:25,-116.2406,43.5667,0,0,0,330,2,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010425Z AUTO 33002KT 10S0 CLR 17/04 A3005 R0K T01700040 0ADISHF
BOI,9/1/2020 4:30,-116.2406,43.5667,0,0,0,320,2,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010430Z AUTO 32002KT 10S0 CLR 17/04 A3005 R0K T01700040 0ADISHF
BOI,9/1/2020 4:35,-116.2406,43.5667,0,0,0,340,4,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010435Z AUTO 34004KT 10S0 CLR 17/04 A3005 R0K T01700040 0ADISHF
BOI,9/1/2020 4:40,-116.2406,43.5667,0,0,0,350,5,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010440Z AUTO 35005KT 10S0 CLR 17/04 A3005 R0K T01700040 0ADISHF
BOI,9/1/2020 4:45,-116.2406,43.5667,0,0,0,360,5,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010445Z AUTO 36005KT 10S0 CLR 17/04 A3005 R0K T01700040 0ADISHF
BOI,9/1/2020 4:50,-116.2406,43.5667,0,0,0,10,5,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010450Z AUTO 01005KT 10S0 CLR 17/04 A3005 R0K T01700040 0ADISHF
BOI,9/1/2020 4:53,-116.2406,43.5667,62.1,39,42.41,20,6,0,30.06,1016.3,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010453Z 02006KT 10S0 CLR 17/04 A3006 R0K AO2 SLP163 T01670039
BOI,9/1/2020 4:55,-116.2406,43.5667,0,0,0,20,5,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010455Z AUTO 02005KT 10S0 CLR 17/04 A3005 R0K T01700040 0ADISHF
BOI,9/1/2020 5:00,-116.2406,43.5667,0,0,0,30,5,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010500Z AUTO 03005KT 10S0 CLR 17/03 A3005 R0K T01700030 0ADISHF
BOI,9/1/2020 5:05,-116.2406,43.5667,0,0,0,30,5,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010505Z AUTO 03005KT 10S0 CLR 17/03 A3005 R0K T01700030 0ADISHF
BOI,9/1/2020 5:10,-116.2406,43.5667,0,0,0,30,5,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010510Z AUTO 03005KT 10S0 CLR 17/03 A3005 R0K T01700030 0ADISHF
BOI,9/1/2020 5:15,-116.2406,43.5667,0,0,0,20,5,0,30.07,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010515Z AUTO 02005KT 10S0 CLR 17/03 A3006 R0K T01700030 0ADISHF
BOI,9/1/2020 5:20,-116.2406,43.5667,0,0,0,10,2,0,30.06,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010520Z AUTO 01002KT 10S0 CLR 17/03 A3005 R0K T01700030 0ADISHF
BOI,9/1/2020 5:25,-116.2406,43.5667,0,0,0,310,2,0,30.07,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010525Z AUTO 31002KT 10S0 CLR 16/04 A3006 R0K T01600040 0ADISHF
BOI,9/1/2020 5:30,-116.2406,43.5667,0,0,0,270,4,0,30.07,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010530Z AUTO 27004KT 10S0 CLR 16/03 A3006 R0K T01600030 0ADISHF
BOI,9/1/2020 5:35,-116.2406,43.5667,0,0,0,270,4,0,30.07,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010535Z AUTO 27004KT 10S0 CLR 16/03 A3006 R0K T01600030 0ADISHF
BOI,9/1/2020 5:40,-116.2406,43.5667,0,0,0,290,2,0,30.07,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010540Z AUTO 29002KT 10S0 CLR 16/03 A3006 R0K T01600030 0ADISHF
BOI,9/1/2020 5:45,-116.2406,43.5667,0,0,0,0,0,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010545Z AUTO 00000KT 10S0 CLR 16/03 A3007 R0K T01600030 0ADISHF
